#{"t_start": 1787011359.127397, "env_id": "Humanoid-v4"}
r,l,t
159.691236,32,6.157521
106.654098,21,6.173478
105.085271,21,6.190433
88.509494,18,6.204396
88.240223,18,6.217361
100.574766,20,6.231323
138.506373,26,6.25127
88.868435,18,6.267227
95.579302,19,6.28119
83.803023,17,6.293158
152.391617,30,6.317094
123.713461,24,6.335046
83.568443,17,6.347014
102.205714,20,6.361974
83.690743,17,6.373942
124.113378,24,6.391894
83.481919,17,6.403862
94.637144,19,6.422811
128.577662,25,6.440763
143.626659,28,6.461707
94.444045,19,6.47567
145.581386,31,6.499606
145.376674,30,6.523541
153.210538,30,6.54648
138.806289,27,6.567424
89.204223,18,6.580389
134.254714,26,6.599339
100.447994,20,6.61729
196.130927,38,6.648208
83.240756,17,6.661173
197.88204,41,6.697077
222.89048,42,6.729989
118.104239,23,6.748938
95.132997,19,6.762901
187.422946,37,6.791823
153.507122,32,6.815759
121.254308,24,6.833711
140.416001,28,6.860639
133.912119,26,6.879588
118.435829,23,6.896543
117.411286,23,6.913498
106.776783,21,6.929455
112.792861,22,6.94641
152.225198,29,6.970345
96.599793,19,6.984308
175.514309,35,7.011236
102.059502,20,7.026197
105.514941,21,7.045146
89.300276,18,7.058111
121.475555,24,7.078057
97.484179,20,7.093017
89.252108,18,7.105983
195.901649,39,7.1369
117.379842,23,7.153855
128.598611,26,7.173801
118.170645,23,7.191753
101.293982,20,7.206714
96.753062,19,7.223668
157.149229,31,7.247603
89.404564,18,7.260569
154.917089,31,7.284505
100.717337,20,7.300462
100.990561,20,7.315422
94.42639,19,7.329385
126.758493,25,7.348334
95.328225,19,7.362297
230.761114,47,7.399198
118.970255,23,7.425129
88.234683,18,7.438094
184.142164,38,7.482974
78.505724,16,7.494942
88.724046,18,7.507908
94.96656,19,7.523865
88.375165,18,7.537827
89.026315,18,7.553784
190.956251,38,7.584702
146.691256,28,7.606643
155.369236,31,7.635565
101.518838,20,7.651523
100.026139,20,7.666483
126.956147,25,7.690419
129.222463,26,7.709368
175.970771,34,7.734302
161.728149,33,7.764222
111.790932,22,7.784168
100.900538,20,7.801122
113.382121,23,7.81708
187.952931,38,7.850989
128.293363,25,7.869938
96.173259,19,7.883901
88.812171,18,7.896866
115.8721,24,7.914818
118.757485,23,7.93277
95.296895,19,7.945735
118.325144,23,7.964684
83.353569,17,7.976653
123.829654,24,7.994604
105.695214,21,8.012556
88.261639,18,8.026519
131.084648,26,8.045468
101.78864,21,8.061425
95.377354,19,8.077383
171.050696,36,8.105308
171.579768,37,8.133234
148.401356,30,8.155175
147.263591,29,8.176119
143.978495,28,8.199057
133.936629,26,8.220999
138.489704,28,8.241943
191.903438,39,8.275852
176.792207,35,8.305772
83.365222,17,8.317739
111.373985,22,8.334694
107.930859,22,8.350652
121.918204,24,8.368603
154.932657,34,8.395531
125.304833,24,8.415478
117.464522,23,8.435425
132.972791,26,8.455371
126.3205,25,8.474321
95.778415,19,8.488283
95.363306,19,8.501248
90.129067,18,8.516208
171.098552,33,8.542139
159.57412,31,8.566075
135.885583,27,8.587019
146.671922,28,8.607963
83.858926,17,8.624918
136.843023,26,8.644864
124.193994,25,8.663813
117.659994,24,8.680768
207.925636,40,8.711685
83.097728,17,8.724651
194.892517,40,8.756566
186.831416,37,8.785488
88.521002,18,8.798453
159.453814,31,8.821392
88.759648,18,8.837349
124.023173,25,8.858293
173.223147,34,8.884223
162.186378,33,8.910154
83.511197,17,8.922122
119.713561,24,8.941072
127.76987,25,8.962015
127.693212,26,8.980965
90.654003,18,8.994927
125.898683,25,9.012879
124.606843,24,9.033823
89.250568,18,9.44971
118.17178,23,9.788803
153.588514,30,10.220647
163.838289,34,10.712331
181.864779,37,11.249893
173.475861,34,11.759529
88.534841,18,12.025816
95.897501,19,12.310057
95.681602,19,12.591302
83.468646,17,12.853601
107.514776,21,13.171749
298.337043,57,14.041422
95.890445,19,14.33364
123.171802,24,14.698663
160.068364,31,15.169403
83.524908,17,15.430703
161.820442,32,15.927375
129.828303,25,16.318328
99.870257,20,16.624509
95.583875,19,16.918721
83.523893,17,17.18102
116.391005,23,17.534075
83.480601,17,17.813327
138.179334,28,18.248163
98.01559,20,18.558333
89.682756,18,18.833596
89.815918,18,19.114844
100.958964,20,19.422022
143.537929,28,19.85586
95.103917,19,20.154063
89.671304,18,20.432318
89.168496,18,20.705587
186.723513,36,21.264092
89.212359,18,21.542347
93.993333,19,21.835562
107.09966,21,22.160692
193.266453,38,22.750116
242.355715,48,23.495121
181.278302,38,24.084543
134.049352,26,24.492452
111.40351,22,24.833539
251.017805,47,25.570567
130.243807,25,25.952544
196.446273,40,26.572885
178.74707,34,27.100472
327.400856,63,28.068881
295.21391,54,28.903646
199.306682,42,29.550914
305.66221,58,30.446517
131.783021,28,30.892324
254.508274,47,31.618381
123.276714,26,32.0223
342.649993,64,33.005669
175.336607,33,33.514307
271.936146,54,34.353062
216.446794,41,34.994346
421.986581,78,36.196131
165.85139,35,36.739675
243.711046,45,37.440799
251.200896,47,38.171843
286.911342,54,39.011595
489.245879,100,40.576407
275.09148,54,41.415164
191.120968,37,41.986633
268.716324,52,42.796465
436.133447,79,44.022186
260.276637,50,44.797111
398.153551,74,45.95601
244.119921,53,46.773822
270.800787,56,47.658454
307.92984,59,48.574003
416.2992,79,49.797729
457.381395,90,51.186013
331.784677,62,52.14744
226.68447,43,52.817648
276.526023,53,53.641442
298.567752,61,54.58791
600.6637,113,56.340219
315.993686,61,57.280702
225.812074,42,57.945922
260.486976,54,58.781685
279.599842,56,59.659337
313.621964,66,60.701547
705.254323,133,62.606449
367.190321,74,63.681572
271.256774,54,64.481431
216.932702,43,65.116731
420.713613,79,66.295576
293.724418,54,67.098428
347.330819,73,68.213443
462.121628,93,69.674533
298.137355,55,70.50531
266.83544,49,71.2563
277.072488,57,72.069124
446.233613,88,73.334738
311.835616,64,74.282202
286.848084,52,75.053138
322.340246,64,76.010576
254.757943,46,76.695743
